timestamp,X,Y,Z
1635138816,-11115.0,-11908.0,132.0
1635158816,-11091.0,-11896.0,162.0
1635178752,-11057.0,-11937.0,182.0
1635198752,-11014.0,-12006.0,187.0
1635218944,-10983.0,-12050.0,185.0
1635238944,-10986.0,-12043.0,187.0
1635258880,-11020.0,-12007.0,203.0
1635278880,-11055.0,-11986.0,220.0
1635298816,-11054.0,-11992.0,229.0
1635318816,-11018.0,-12002.0,216.0
1635339008,-10981.0,-12053.0,205.0
1635359008,-10951.0,-12129.0,190.0
1635378944,-10919.0,-12179.0,160.0
1635398944,-10859.0,-12197.0,110.0
1635419136,-10768.0,-12184.0,42.0
1635439136,-10671.0,-12173.0,-27.0
1635459072,-10584.0,-12192.0,-94.0
1635479072,-10515.0,-12253.0,-163.0
1635499008,-10478.0,-12326.0,-232.0
1635519008,-10495.0,-12365.0,-290.0
1635539200,-10562.0,-12364.0,-321.0
1635559200,-10662.0,-12388.0,-315.0
1635579136,-10743.0,-12472.0,-278.0
1635599136,-10770.0,-12559.0,-228.0
1635619328,-10771.0,-12572.0,-192.0
1635639328,-10799.0,-12477.0,-182.0
1635659264,-10840.0,-12325.0,-191.0
1635679264,-10848.0,-12190.0,-218.0
1635699200,-10812.0,-12123.0,-257.0
1635719200,-10772.0,-12122.0,-292.0
1635739392,-10760.0,-12172.0,-298.0
1635759392,-10754.0,-12271.0,-275.0
1635779328,-10710.0,-12411.0,-268.0
1635799328,-10610.0,-12543.0,-297.0
1635819520,-10476.0,-12609.0,-351.0
1635839520,-10363.0,-12603.0,-411.0
1635859456,-10270.0,-12616.0,-431.0
1635879456,-10207.0,-12660.0,-405.0
1635899392,-10231.0,-12684.0,-360.0
1635919392,-10338.0,-12637.0,-318.0
1635939584,-10453.0,-12554.0,-281.0
1635959584,-10504.0,-12493.0,-243.0
1635979520,-10477.0,-12482.0,-213.0
1635999520,-10409.0,-12509.0,-191.0
1636019712,-10350.0,-12547.0,-161.0
1636039712,-10326.0,-12571.0,-122.0
1636059648,-10325.0,-12562.0,-89.0
1636079648,-10319.0,-12550.0,-81.0
1636099584,-10280.0,-12574.0,-106.0
1636119584,-10215.0,-12639.0,-141.0
1636139776,-10173.0,-12708.0,-156.0
1636159776,-10204.0,-12715.0,-144.0
1636179712,-10306.0,-12653.0,-105.0
1636199712,-10426.0,-12568.0,-45.0
1636219904,-10509.0,-12504.0,3.0
1636239904,-10545.0,-12477.0,22.0
1636259840,-10553.0,-12501.0,30.0
1636279840,-10540.0,-12553.0,45.0
1636299776,-10488.0,-12601.0,57.0
1636319776,-10393.0,-12624.0,55.0
1636339968,-10296.0,-12593.0,48.0
1636359968,-10243.0,-12576.0,64.0
1636379904,-10221.0,-12602.0,107.0
1636399904,-10235.0,-12623.0,148.0
1636420096,-10277.0,-12585.0,164.0
1636440096,-10324.0,-12526.0,167.0
1636460032,-10359.0,-12503.0,169.0
1636480032,-10346.0,-12526.0,164.0
1636499968,-10235.0,-12564.0,140.0
1636519968,-10005.0,-12621.0,100.0
1636540160,-9685.0,-12672.0,37.0
1636560160,-9350.0,-12668.0,-73.0
1636580096,-9080.0,-12584.0,-233.0
1636600096,-8945.0,-12504.0,-393.0
1636620288,-8948.0,-12466.0,-498.0
1636640288,-9080.0,-12434.0,-501.0
