timestamp,X,Y,Z
1776092726887196,-14065.0,-9467.0,-1289.0
1776092726907196,-14254.0,-8690.0,-921.0
1776092726927235,-14442.0,-8145.0,-437.0
1776092726947235,-14662.0,-7825.0,19.0
1776092726967274,-14901.0,-7521.0,319.0
1776092726987274,-15145.0,-7166.0,480.0
1776092727007405,-15402.0,-6794.0,621.0
1776092727027405,-15687.0,-6497.0,803.0
1776092727047352,-15950.0,-6290.0,974.0
1776092727067352,-16119.0,-6108.0,1059.0
1776092727087391,-16188.0,-5937.0,1076.0
1776092727107391,-16139.0,-5830.0,1100.0
1776092727127430,-15987.0,-5844.0,1162.0
1776092727147430,-15776.0,-5935.0,1217.0
1776092727167469,-15563.0,-6010.0,1227.0
1776092727187469,-15415.0,-6043.0,1210.0
1776092727207966,-15347.0,-6090.0,1209.0
1776092727227966,-15327.0,-6207.0,1221.0
1776092727247547,-15303.0,-6350.0,1190.0
1776092727267547,-15266.0,-6418.0,1115.0
1776092727287587,-15268.0,-6394.0,1061.0
1776092727307587,-15320.0,-6315.0,1058.0
1776092727327626,-15378.0,-6265.0,1071.0
1776092727347626,-15390.0,-6293.0,1058.0
1776092727367665,-15341.0,-6380.0,1017.0
1776092727387665,-15267.0,-6454.0,988.0
1776092727407704,-15245.0,-6480.0,1007.0
1776092727427704,-15321.0,-6474.0,1090.0
1776092727447743,-15465.0,-6448.0,1222.0
1776092727467743,-15597.0,-6437.0,1384.0
1776092727487782,-15667.0,-6430.0,1550.0
1776092727507782,-15680.0,-6402.0,1709.0
1776092727527821,-15652.0,-6435.0,1859.0
1776092727547821,-15545.0,-6618.0,1971.0
1776092727567860,-15312.0,-6931.0,2020.0
1776092727587860,-14970.0,-7313.0,2040.0
1776092727607899,-14576.0,-7708.0,2066.0
1776092727627899,-14182.0,-8121.0,2088.0
1776092727647938,-13851.0,-8550.0,2053.0
1776092727667938,-13622.0,-8897.0,1956.0
1776092727687977,-13524.0,-9131.0,1920.0
1776092727707977,-13540.0,-9331.0,2030.0
1776092727728016,-13559.0,-9553.0,2201.0
1776092727748016,-13489.0,-9726.0,2294.0
1776092727768055,-13294.0,-9696.0,2268.0
1776092727788055,-13061.0,-9501.0,2225.0
1776092727808094,-12949.0,-9353.0,2324.0
1776092727828094,-13013.0,-9404.0,2604.0
1776092727848133,-13140.0,-9571.0,2938.0
1776092727868133,-13203.0,-9670.0,3160.0
1776092727888172,-13184.0,-9586.0,3251.0
1776092727908172,-13129.0,-9391.0,3292.0
1776092727928212,-13095.0,-9267.0,3307.0
1776092727948212,-13067.0,-9357.0,3289.0
