timestamp,X,Y,Z
1776170131882316,-8690.0,11775.0,4951.0
1776170131902316,-9041.0,13031.0,5032.0
1776170131922355,-9321.0,14122.0,5102.0
1776170131942355,-9436.0,14848.0,5161.0
1776170131962394,-9495.0,15114.0,5224.0
1776170131982394,-9667.0,14831.0,5236.0
1776170132002433,-10021.0,14058.0,5186.0
1776170132022433,-10375.0,13050.0,5134.0
1776170132042472,-10488.0,12088.0,5059.0
1776170132062472,-10355.0,11253.0,4921.0
1776170132082511,-10165.0,10415.0,4758.0
1776170132102511,-10168.0,9462.0,4655.0
1776170132122550,-10505.0,8522.0,4730.0
1776170132142550,-11070.0,7819.0,4969.0
1776170132162589,-11795.0,7356.0,5232.0
1776170132182589,-12809.0,7013.0,5451.0
1776170132202629,-14158.0,6729.0,5665.0
1776170132222629,-15618.0,6602.0,5816.0
1776170132244194,-16939.0,6764.0,5689.0
1776170132264194,-17817.0,7062.0,5204.0
1776170132282707,-18045.0,7165.0,4479.0
1776170132302707,-17788.0,7249.0,3696.0
1776170132322746,-17264.0,7628.0,2889.0
1776170132342746,-16548.0,8370.0,1843.0
1776170132362785,-15696.0,9093.0,367.0
1776170132382785,-14950.0,9309.0,-1407.0
1776170132402824,-14570.0,8995.0,-2988.0
1776170132422824,-14732.0,8588.0,-3899.0
1776170132442893,-15403.0,8372.0,-3985.0
1776170132462893,-16203.0,8178.0,-3468.0
1776170132482902,-16675.0,7841.0,-2746.0
1776170132502902,-16565.0,7520.0,-2075.0
1776170132522941,-15863.0,7406.0,-1569.0
1776170132542941,-14744.0,7467.0,-1259.0
1776170132562980,-13636.0,7664.0,-1061.0
1776170132582980,-12844.0,8195.0,-751.0
1776170132603019,-12348.0,9293.0,-242.0
1776170132623019,-12043.0,10798.0,310.0
1776170132643089,-11914.0,12105.0,589.0
1776170132663089,-12015.0,12698.0,515.0
1776170132683097,-12252.0,12492.0,373.0
1776170132703097,-12473.0,11670.0,496.0
1776170132723136,-12498.0,10304.0,894.0
1776170132743136,-12395.0,8739.0,1590.0
1776170132763175,-12422.0,7417.0,2582.0
1776170132783175,-12701.0,6662.0,3735.0
1776170132803214,-13103.0,6739.0,4971.0
