timestamp,X,Y,Z
828000832,-13224.0,-3910.0,7579.0
828020832,-13347.0,-3769.0,7675.0
828040896,-13507.0,-3608.0,7743.0
828060896,-13664.0,-3472.0,7779.0
828080896,-13793.0,-3399.0,7783.0
828100896,-13869.0,-3388.0,7748.0
828120960,-13900.0,-3399.0,7652.0
828140960,-13951.0,-3456.0,7548.0
828160960,-14026.0,-3657.0,7531.0
828180960,-14003.0,-4002.0,7573.0
828201024,-13821.0,-4340.0,7564.0
828221024,-13581.0,-4515.0,7497.0
828241088,-13431.0,-4499.0,7468.0
828261088,-13417.0,-4334.0,7510.0
828281088,-13482.0,-4087.0,7566.0
828301088,-13544.0,-3832.0,7589.0
828321152,-13587.0,-3621.0,7598.0
828341152,-13628.0,-3496.0,7621.0
828361216,-13654.0,-3505.0,7647.0
828381216,-13632.0,-3625.0,7635.0
828401280,-13590.0,-3813.0,7598.0
828421280,-13605.0,-3987.0,7531.0
828441280,-13684.0,-4069.0,7388.0
828461280,-13763.0,-4099.0,7161.0
828481280,-13801.0,-4149.0,6881.0
828501280,-13850.0,-4238.0,6576.0
828521344,-13964.0,-4391.0,6284.0
828541344,-14071.0,-4669.0,6039.0
828561408,-14074.0,-5093.0,5854.0
828581408,-13960.0,-5513.0,5684.0
828601408,-13826.0,-5732.0,5479.0
828621408,-13759.0,-5723.0,5235.0
828641472,-13794.0,-5598.0,4983.0
828661472,-13945.0,-5454.0,4758.0
828681472,-14168.0,-5343.0,4550.0
828701472,-14368.0,-5307.0,4333.0
828721536,-14481.0,-5350.0,4093.0
828741536,-14524.0,-5460.0,3859.0
828761600,-14523.0,-5608.0,3658.0
828781600,-14489.0,-5749.0,3484.0
828801600,-14452.0,-5848.0,3330.0
828821600,-14428.0,-5973.0,3239.0
828841664,-14434.0,-6155.0,3245.0
828861664,-14455.0,-6333.0,3345.0
828881664,-14431.0,-6440.0,3493.0
828901664,-14320.0,-6419.0,3594.0
828921728,-14191.0,-6281.0,3645.0
828941728,-14155.0,-6076.0,3683.0
828964352,-14236.0,-5809.0,3672.0
828984352,-14393.0,-5567.0,3637.0
829001856,-14593.0,-5383.0,3614.0
829021856,-14854.0,-5121.0,3543.0
