timestamp,Pressure
1776171643334059,101831.640625
1776171643494063,101831.640625
1776171643654067,101826.6015625
1776171643814223,101826.6015625
1776171643974196,101826.6015625
1776171644134078,101836.78125
1776171644294112,101834.7265625
1776171644454085,101820.53125
1776171644614180,101837.8125
1776171644774092,101823.6171875
1776171644934096,101827.6796875
1776171645094100,101839.8671875
1776171645254317,101831.7421875
1776171645414320,101832.765625
1776171645574263,101830.7578125
1776171645734389,101826.6953125
1776171645894545,101822.6328125
1776171646054244,101835.8515625
1776171646214156,101827.7265625
1776171646374159,101823.6640625
1776171646535292,101825.71875
1776171646694319,101837.90625
1776171646854170,101829.78125
1776171647014143,101822.6875
1776171647174147,101828.8046875
1776171647334151,101828.8046875
1776171647494277,101828.8046875
1776171647654158,101831.8359375
1776171647814162,101834.921875
1776171647974165,101818.671875
1776171648134322,101825.765625
1776171648294173,101829.8828125
1776171648454207,101833.9453125
1776171648614211,101829.8828125
1776171648774214,101829.8828125
1776171648934309,101829.8828125
1776171649094222,101827.875
1776171649254225,101824.8359375
1776171649414229,101824.8359375
1776171649574355,101833.9921875
1776171649734206,101832.9609375
1776171649894209,101825.8671875
1776171650054213,101825.8671875
1776171650214247,101817.7421875
1776171650374373,101827.921875
1776171650535292,101829.9765625
1776171650694228,101827.921875
1776171650854231,101829.9765625
1776171651014388,101827.96875
1776171651174239,101828.9453125
1776171651334242,101825.9140625
1776171651494246,101827.96875
1776171651654250,101824.9296875
1776171651814375,101838.1484375
1776171651974257,101825.9609375
1776171652134261,101829.0
1776171652294295,101821.8984375
1776171652454421,101836.140625
1776171652614394,101823.953125
1776171652774275,101818.859375
1776171652934279,101830.0234375
1776171653094283,101832.078125
1776171653254408,101829.046875
1776171653414290,101836.140625
1776171653574294,101821.9453125
1776171653734328,101821.9453125
1776171653894423,101834.1328125
1776171654054335,101838.1953125
1776171654214339,101830.0703125
1776171654374312,101824.0
1776171654535567,101836.1875
1776171654694411,101828.0625
1776171654854323,101828.0625
1776171655014327,101830.0703125
1776171655174330,101828.0625
1776171655334334,101832.125
1776171655494338,101832.125
1776171655654341,101833.15625
1776171655814436,101834.1796875
1776171655974532,101832.125
1776171656134657,101832.125
1776171656294814,101836.1875
1776171656454390,101832.125
1776171656614394,101832.125
1776171656774550,101836.1875
1776171656934401,101816.8984375
1776171657094405,101824.0
1776171657254408,101821.9453125
1776171657414381,101832.125
1776171657574385,101834.1796875
1776171657734389,101834.1796875
1776171657894392,101834.1796875
1776171658054396,101836.1875
1776171658214522,101840.2578125
1776171658374403,101833.15625
1776171658535323,101832.125
1776171658694441,101840.2578125
1776171658854445,101828.0625
1776171659014693,101825.0234375
1776171659174452,101828.0625
1776171659334486,101826.0546875
1776171659494490,101830.0703125
1776171659654616,101836.1875
1776171659814497,101832.125
1776171659974440,101840.2578125
1776171660134444,101835.1640625
1776171660294447,101835.1640625
1776171660454451,101836.1875
1776171660614455,101838.1953125
1776171660774489,101836.1875
1776171660934493,101830.0703125
1776171661094618,101830.0703125
1776171661254500,101834.1328125
1776171661414473,101831.1015625
1776171661574477,101822.96875
1776171661734480,101830.0703125
1776171661894484,101830.0703125
1776171662054488,101829.046875
1776171662214522,101820.9140625
1776171662374526,101821.9453125
1776171662535384,101823.953125
1776171662694502,101832.078125
1776171662854537,101834.1328125
1776171663014540,101821.9453125
1776171663174513,101811.7578125
1776171663334548,101828.015625
1776171663494521,101835.1171875
1776171663654524,101830.0234375
1776171663814528,101839.1796875
1776171663974654,101835.1171875
1776171664134535,101830.0234375
1776171664294539,101825.9609375
1776171664454543,101830.0234375
1776171664614546,101835.1171875
1776171664774550,101830.0234375
1776171664934554,101823.90625
1776171665094557,101829.0
1776171665254561,101834.0859375
1776171665414809,101829.0
1776171665574568,101823.90625
1776171665734572,101830.0234375
1776171665894576,101832.03125
1776171666054579,101824.9296875
1776171666214919,101821.8515625
1776171666374739,101829.0
1776171666535719,101832.03125
1776171666695052,101820.8671875
1776171666854720,101832.03125
1776171667014632,101833.0625
1776171667174635,101823.90625
1776171667334670,101833.0625
1776171667494643,101825.9140625
1776171667654768,101834.0859375
1776171667814681,101832.03125
1776171667974654,101836.09375
1776171668134657,101829.9765625
1776171668294997,101829.9765625
1776171668454665,101839.1328125
1776171668614668,101825.9140625
1776171668774672,101821.8515625
1776171668934676,101827.921875
1776171669094832,101825.9140625
1776171669256117,101821.8515625
1776171669415999,101827.921875
1776171669575911,101819.796875
1776171669736098,101820.8203125
1776171669895735,101823.859375
1776171670055647,101827.921875
1776171670215590,101827.921875
1776171670375563,101819.796875
1776171670537032,101827.921875
1776171670695265,101844.171875
1776171670855208,101838.1015625
1776171671014998,101833.015625
1776171671175276,101839.0859375
1776171671335036,101836.046875
1776171671494856,101833.9921875
1776171671654707,101835.0234375
1776171671814711,101830.953125
1776171671974837,101825.8671875
1776171672134749,101831.984375
1776171672294722,101833.9921875
1776171672454726,101833.9921875
1776171672614943,101841.09375
1776171672774733,101838.0546875
1776171672934737,101842.1171875
1776171673094740,101833.9921875
1776171673254744,101847.2109375
1776171673414900,101832.9609375
1776171673574751,101835.0234375
1776171673734755,101825.8671875
1776171673894759,101837.0234375
1776171674054976,101838.0546875
1776171674214888,101841.09375
1776171674374770,101846.1796875
1776171674535872,101848.1875
1776171674694777,101842.1171875
1776171674855116,101831.9375
1776171675014784,101840.0625
1776171675174788,101842.1171875
1776171675334792,101840.0625
1776171675495009,101842.1171875
1776171675654921,101836.9765625
1776171675814803,101838.0078125
1776171675974806,101827.875
1776171676134810,101840.0625
1776171676294966,101843.09375
1776171676454817,101848.1875
1776171676614882,101842.0703125
1776171676774916,101847.1640625
1776171676935286,101845.1015625
1776171677095198,101853.234375
1776171677254897,101846.1328125
1776171677414870,101845.1015625
1776171677574873,101832.9140625
1776171677734999,101846.1328125
1776171677894881,101848.140625
1776171678054884,101836.9765625
1776171678214888,101845.1015625
1776171678374953,101836.9765625
1776171678536177,101836.9765625
1776171678694930,101843.046875
1776171678855025,101834.921875
1776171679015120,101834.921875
1776171679175307,101840.015625
1776171679335494,101843.046875
1776171679495650,101828.8515625
1776171679655776,101829.828125
1776171679815108,101836.9296875
