timestamp,X,Y,Z
137466160,-15041.0,-5165.0,10246.0
137486160,-15288.0,-5985.0,10421.0
137506240,-15275.0,-6497.0,10295.0
137526240,-14979.0,-6714.0,9810.0
137546240,-14516.0,-6674.0,9015.0
137566240,-14000.0,-6445.0,8026.0
137586288,-13493.0,-6100.0,6947.0
137606288,-13010.0,-5713.0,5866.0
137626320,-12524.0,-5409.0,4876.0
137646320,-12004.0,-5352.0,4066.0
137666352,-11433.0,-5678.0,3534.0
137686352,-10817.0,-6317.0,3297.0
137706400,-10182.0,-7113.0,3280.0
137726400,-9619.0,-8028.0,3426.0
137746432,-9256.0,-8970.0,3757.0
137766432,-9206.0,-9752.0,4327.0
137786480,-9462.0,-10210.0,5125.0
137806480,-9929.0,-10357.0,6075.0
137826512,-10481.0,-10235.0,7042.0
137846512,-10965.0,-9859.0,7873.0
137866560,-11356.0,-9360.0,8469.0
137886560,-11688.0,-8775.0,8768.0
137906592,-11979.0,-8127.0,8792.0
137926592,-12197.0,-7501.0,8628.0
137946640,-12275.0,-6999.0,8372.0
137966640,-12229.0,-6713.0,8122.0
137986672,-12133.0,-6642.0,7901.0
138006672,-12093.0,-6698.0,7714.0
138026704,-12128.0,-6778.0,7579.0
138046704,-12178.0,-6867.0,7498.0
138066752,-12307.0,-6962.0,7490.0
138086752,-12643.0,-7011.0,7612.0
138106784,-13140.0,-6934.0,7849.0
138126784,-13561.0,-6687.0,8097.0
138146832,-13783.0,-6264.0,8331.0
138166832,-13863.0,-5721.0,8591.0
138186864,-13915.0,-5131.0,8854.0
138206864,-13960.0,-4631.0,9052.0
138226912,-13950.0,-4295.0,9125.0
138246912,-13907.0,-4203.0,9120.0
138266944,-13873.0,-4419.0,9071.0
138286944,-13854.0,-4880.0,8959.0
138306976,-13805.0,-5484.0,8793.0
138326976,-13639.0,-6205.0,8624.0
138347024,-13277.0,-6892.0,8463.0
138367024,-12822.0,-7442.0,8352.0
138387056,-12380.0,-7722.0,8297.0
138407056,-11915.0,-7656.0,8291.0
138427104,-11455.0,-7268.0,8356.0
138447104,-11119.0,-6672.0,8416.0
138467136,-10955.0,-6009.0,8361.0
138487136,-10883.0,-5530.0,8087.0
138507184,-10877.0,-5464.0,7527.0
138527184,-10968.0,-5779.0,6721.0
138547216,-11113.0,-6185.0,5753.0
138567216,-11252.0,-6567.0,4794.0
138589024,-11412.0,-7060.0,3999.0
138609024,-11662.0,-7624.0,3358.0
138627296,-12067.0,-8404.0,2943.0
138647296,-12599.0,-9471.0,2768.0
138667328,-13090.0,-10723.0,2756.0
138687328,-13525.0,-11995.0,2929.0
138707376,-13926.0,-12881.0,3257.0
138727376,-14329.0,-13192.0,3725.0
138747408,-14590.0,-12923.0,4132.0
138767408,-14487.0,-12256.0,4305.0
138787456,-13963.0,-11665.0,4344.0
138807456,-13178.0,-11180.0,4306.0
138827488,-12331.0,-10731.0,4185.0
138847488,-11616.0,-10442.0,4020.0
138867536,-11131.0,-10289.0,3797.0
