timestamp,Pressure
1776092061621684,101001.5234375
1776092061780437,101020.8671875
1776092061940563,101013.7421875
1776092062100414,101011.703125
1776092062260417,101012.7265625
1776092062420421,101006.6171875
1776092062580425,101012.7265625
1776092062740428,101003.5625
1776092062900463,101003.5625
1776092063060436,101007.6328125
1776092063220439,101021.8828125
1776092063380565,101006.6171875
1776092063540355,101006.6171875
1776092063700481,101005.6015625
1776092063860454,101004.578125
1776092064020458,101006.6171875
1776092064180461,101009.671875
1776092064340465,101007.6328125
1776092064500499,101011.703125
1776092064660472,101002.546875
1776092064820598,101005.6015625
1776092064980602,101008.65625
1776092065140483,101015.78125
1776092065300517,101016.796875
1776092065460491,101009.671875
1776092065621959,101005.6015625
1776092065780498,101009.671875
1776092065940502,101007.6328125
1776092066100566,101015.78125
1776092066260692,101007.6328125
1776092066420665,101018.8359375
1776092066580638,101009.671875
1776092066740795,101007.6328125
1776092066900920,101007.6328125
1776092067061443,101011.7109375
1776092067221263,101005.6015625
1776092067380565,101007.6328125
1776092067540569,101005.6015625
1776092067700694,101007.6328125
1776092067860576,101015.78125
1776092068020580,101011.7109375
1776092068180583,101007.6328125
1776092068340587,101000.5078125
1776092068500835,101003.5625
1776092068660594,101007.6328125
1776092068820568,101000.5078125
1776092068980602,101003.5625
1776092069140605,101015.78125
1776092069300640,101007.6328125
1776092069460582,101010.6875
1776092069621959,101013.7421875
1776092069780589,101014.765625
1776092069940715,101006.6171875
1776092070100627,101006.6171875
1776092070260600,101003.5625
1776092070420604,101003.5625
1776092070580760,101009.671875
1776092070740703,101015.78125
1776092070900798,101010.6875
1776092071060985,101006.6171875
1776092071220653,101015.78125
1776092071380931,101005.6015625
1776092071540630,101012.7265625
1776092071700755,101005.6015625
1776092071860668,101006.6171875
1776092072020793,101002.546875
1776092072180644,101007.6328125
1776092072340648,101007.6328125
1776092072500682,101013.7421875
1776092072660655,101006.6171875
1776092072820659,101007.6328125
1776092072980663,101014.765625
1776092073140666,101007.6328125
1776092073300670,101015.78125
1776092073460674,101016.796875
1776092073621745,101025.9609375
1776092073780681,101011.7109375
1776092073940685,101005.6015625
1776092074100688,101003.5625
1776092074260692,101007.6328125
1776092074420696,101018.8359375
1776092074580699,101007.6328125
1776092074740703,101015.78125
1776092074900829,101019.8515625
1776092075060710,101009.671875
1776092075220714,101012.7265625
1776092075380718,101017.8125
1776092075540721,101007.6328125
1776092075700725,101016.796875
1776092075860729,101016.796875
1776092076020732,101017.8125
1776092076180736,101010.6875
1776092076340862,101010.6875
1776092076500774,101003.5625
1776092076660747,101011.703125
1776092076820751,101011.703125
1776092076980754,101009.671875
1776092077140758,101007.6328125
1776092077300945,101019.8515625
1776092077460765,101004.578125
1776092077621654,101021.8828125
1776092077780773,101024.9375
1776092077940898,101021.8828125
1776092078100780,101016.796875
1776092078260784,101019.8515625
1776092078420787,101008.6484375
1776092078580913,101013.7421875
1776092078740795,101008.6484375
1776092078900859,101009.671875
1776092079060832,101009.671875
1776092079220806,101022.8984375
1776092079381084,101010.6875
1776092079540843,101017.8125
1776092079700878,101020.8671875
1776092079860820,101015.7734375
1776092080020976,101024.9375
1776092080180828,101016.7890625
1776092080340831,101017.8125
1776092080500865,101016.7890625
1776092080660839,101010.6875
1776092080820842,101017.8125
1776092080980876,101013.734375
1776092081140911,101026.96875
1776092081301006,101019.84375
1776092081461437,101017.8125
1776092081621715,101011.703125
1776092081780895,101015.7734375
1776092081940898,101021.8828125
1776092082100902,101005.59375
