timestamp,Temperature
1776092061495555,35.41508102416992
1776092061620586,35.434268951416016
1776092061745555,35.46535873413086
1776092061870586,35.40068817138672
1776092061995586,35.43906784057617
1776092062120860,35.44137954711914
1776092062245677,35.405487060546875
1776092062370372,35.42219543457031
1776092062495616,35.35021209716797
1776092062620555,35.34541320800781
1776092062745555,35.486846923828125
1776092062870555,35.35021209716797
1776092062995616,35.38612747192383
1776092063120555,35.390926361083984
1776092063245769,35.42930603027344
1776092063370677,35.45808029174805
1776092063495586,35.52997970581055
1776092063620555,35.419715881347656
1776092063745525,35.46519088745117
1776092063870525,35.4508056640625
1776092063995586,35.508331298828125
1776092064120952,35.49626922607422
1776092064245586,35.40283966064453
1776092064370677,35.44601058959961
1776092064495922,35.52981185913086
1776092064620555,35.453121185302734
1776092064745555,35.40515899658203
1776092064870555,35.457916259765625
1776092064995555,35.50337600708008
1776092065120616,35.462711334228516
1776092065245586,35.47461700439453
1776092065370555,35.453121185302734
1776092065495555,35.38596725463867
1776092065620830,35.49378967285156
1776092065745647,35.39788055419922
1776092065870555,35.402679443359375
1776092065995586,35.436256408691406
1776092066120555,35.462547302246094
1776092066245586,35.407474517822266
1776092066370555,35.45048141479492
1776092066495586,35.416908264160156
1776092066620708,35.349727630615234
1776092066745952,35.37372589111328
1776092066870677,35.42170333862305
1776092066995616,35.4265022277832
1776092067120616,35.39772033691406
1776092067245525,35.46949768066406
1776092067370586,35.34492874145508
1776092067495586,35.452796936035156
1776092067620647,35.419227600097656
1776092067745555,35.443206787109375
1776092067870830,35.443206787109375
1776092067995555,35.397560119628906
1776092068120586,35.42634201049805
1776092068245555,35.46238708496094
1776092068370586,35.44304656982422
1776092068495586,35.46470260620117
1776092068620586,35.36381149291992
1776092068745555,35.241424560546875
1776092068870708,35.32308578491211
1776092068995708,35.4190673828125
1776092069121135,35.373409271240234
1776092069246013,35.402198791503906
1776092069370586,35.469337463378906
1776092069495586,35.38300704956055
1776092069620922,35.34941482543945
1776092069745555,35.35421371459961
1776092069870555,35.375732421875
1776092069995555,35.231658935546875
1776092070121044,35.31332778930664
1776092070245708,35.38300704956055
1776092070370586,35.3636589050293
1776092070495586,35.27970886230469
1776092070620586,35.339656829833984
1776092070745555,35.37325668334961
1776092070870586,35.298919677734375
1776092070996684,35.3636589050293
1776092071120555,35.382850646972656
1776092071245830,35.337181091308594
1776092071370586,35.27722930908203
1776092071495555,35.34197998046875
1776092071620586,35.289161682128906
1776092071745586,35.313175201416016
1776092071870555,35.310699462890625
1776092071996410,35.212284088134766
1776092072120586,35.289161682128906
1776092072245586,35.30109405517578
1776092072370647,35.241119384765625
1776092072495555,35.26514434814453
1776092072620555,35.219417572021484
1776092072745586,35.212284088134766
1776092072870555,35.248252868652344
1776092072995738,35.1882438659668
1776092073120555,35.243446350097656
1776092073245616,35.20499801635742
1776092073370525,35.142478942871094
1776092073495677,35.10879898071289
1776092073620616,35.11113357543945
1776092073745555,35.1761474609375
1776092073870555,35.1761474609375
1776092073995708,35.12323760986328
1776092074120555,35.14728927612305
1776092074245555,35.055850982666016
1776092074370342,35.12323760986328
1776092074495677,35.07029342651367
1776092074620616,35.07029342651367
1776092074746196,35.152099609375
1776092074870555,35.1400032043457
1776092074995586,35.05337142944336
1776092075120555,35.10150909423828
1776092075245586,35.01250457763672
1776092075370555,35.067813873291016
1776092075495555,35.041404724121094
1776092075620525,35.02213668823242
1776092075745647,35.026954650878906
1776092075871227,34.9884147644043
1776092075995647,34.925750732421875
1776092076120647,34.95467758178711
1776092076245586,34.87269592285156
1776092076370616,34.87021255493164
1776092076495555,34.906463623046875
1776092076620555,34.94269943237305
1776092076745586,34.945037841796875
1776092076870738,34.812442779541016
1776092076995799,34.87752151489258
1776092077120555,34.863189697265625
1776092077245586,34.82692337036133
1776092077370616,34.76415252685547
1776092077495555,34.76898193359375
1776092077620555,34.76898193359375
1776092077745555,34.76415252685547
1776092077870616,34.82692337036133
1776092078120952,34.8607063293457
1776092078370647,34.77878189086914
1776092078495555,34.785953521728516
