Feature,Importance
GYROSCOPE_Z__standard_deviation,0.11107051
ACCELEROMETER_X__absolute_maximum,0.09140082
GYROSCOPE_X__standard_deviation,0.08883764
GYROSCOPE_Y__standard_deviation,0.066879205
MAGNETOMETER_Z__minimum,0.056245886
GYROSCOPE_Z__minimum,0.054896094
ACCELEROMETER_Y__standard_deviation,0.046511613
MAGNETOMETER_Z__standard_deviation,0.046325732
ACCELEROMETER_Z__minimum,0.03920154
GYROSCOPE_Y__maximum,0.03710855
GYROSCOPE_X__maximum,0.032666914
GYROSCOPE_Z__maximum,0.032461222
OPTICAL_TEMPERATURE_SENSOR_Temperature__length,0.0316598
ACCELEROMETER_X__standard_deviation,0.028512236
MAGNETOMETER_X__minimum,0.02804969
PHOTOPLETHYSMOGRAPHY_IR__median,0.02736157
PHOTOPLETHYSMOGRAPHY_AMBIENT__median,0.026306959
PHOTOPLETHYSMOGRAPHY_RED__standard_deviation,0.025015809
MAGNETOMETER_Y__standard_deviation,0.0152782295
ACCELEROMETER_Z__standard_deviation,0.014817958
MAGNETOMETER_X__sum_values,0.014164383
GYROSCOPE_Y__minimum,0.011112864
PHOTOPLETHYSMOGRAPHY_RED__sum_values,0.010197843
PHOTOPLETHYSMOGRAPHY_AMBIENT__minimum,0.010027592
GYROSCOPE_Y__median,0.00878687
MAGNETOMETER_Z__maximum,0.008425879
OPTICAL_TEMPERATURE_SENSOR_Temperature__standard_deviation,0.0073034223
MAGNETOMETER_Y__maximum,0.0072794515
TEMPERATURE_SENSOR_Temperature__standard_deviation,0.0060628853
ACCELEROMETER_Y__sum_values,0.0049844827
ACCELEROMETER_X__maximum,0.0038655768
ACCELEROMETER_Y__minimum,0.002771593
GYROSCOPE_X__median,0.0024984612
BAROMETER_Pressure__median,0.0019107115
PHOTOPLETHYSMOGRAPHY_IR__minimum,0.0
PHOTOPLETHYSMOGRAPHY_IR__absolute_maximum,0.0
PHOTOPLETHYSMOGRAPHY_GREEN__median,0.0
PHOTOPLETHYSMOGRAPHY_GREEN__sum_values,0.0
PHOTOPLETHYSMOGRAPHY_IR__variance,0.0
PHOTOPLETHYSMOGRAPHY_IR__standard_deviation,0.0
PHOTOPLETHYSMOGRAPHY_IR__length,0.0
PHOTOPLETHYSMOGRAPHY_IR__mean,0.0
PHOTOPLETHYSMOGRAPHY_IR__sum_values,0.0
PHOTOPLETHYSMOGRAPHY_RED__minimum,0.0
PHOTOPLETHYSMOGRAPHY_IR__maximum,0.0
PHOTOPLETHYSMOGRAPHY_IR__root_mean_square,0.0
PHOTOPLETHYSMOGRAPHY_RED__root_mean_square,0.0
PHOTOPLETHYSMOGRAPHY_RED__variance,0.0
BAROMETER_Pressure__length,0.0
PHOTOPLETHYSMOGRAPHY_RED__length,0.0
PHOTOPLETHYSMOGRAPHY_RED__mean,0.0
PHOTOPLETHYSMOGRAPHY_RED__median,0.0
BAROMETER_Pressure__absolute_maximum,0.0
BAROMETER_Pressure__minimum,0.0
BAROMETER_Pressure__root_mean_square,0.0
BAROMETER_Pressure__maximum,0.0
BAROMETER_Pressure__sum_values,0.0
BAROMETER_Pressure__mean,0.0
BAROMETER_Pressure__variance,0.0
BAROMETER_Pressure__standard_deviation,0.0
PHOTOPLETHYSMOGRAPHY_RED__maximum,0.0
PHOTOPLETHYSMOGRAPHY_RED__absolute_maximum,0.0
PHOTOPLETHYSMOGRAPHY_GREEN__minimum,0.0
PHOTOPLETHYSMOGRAPHY_AMBIENT__sum_values,0.0
TEMPERATURE_SENSOR_Temperature__length,0.0
TEMPERATURE_SENSOR_Temperature__mean,0.0
TEMPERATURE_SENSOR_Temperature__median,0.0
TEMPERATURE_SENSOR_Temperature__sum_values,0.0
OPTICAL_TEMPERATURE_SENSOR_Temperature__minimum,0.0
OPTICAL_TEMPERATURE_SENSOR_Temperature__absolute_maximum,0.0
TEMPERATURE_SENSOR_Temperature__maximum,0.0
TEMPERATURE_SENSOR_Temperature__root_mean_square,0.0
MAGNETOMETER_X__median,0.0
MAGNETOMETER_X__mean,0.0
MAGNETOMETER_X__standard_deviation,0.0
MAGNETOMETER_X__length,0.0
PHOTOPLETHYSMOGRAPHY_GREEN__root_mean_square,0.0
PHOTOPLETHYSMOGRAPHY_GREEN__mean,0.0
PHOTOPLETHYSMOGRAPHY_GREEN__standard_deviation,0.0
PHOTOPLETHYSMOGRAPHY_GREEN__length,0.0
PHOTOPLETHYSMOGRAPHY_AMBIENT__maximum,0.0
PHOTOPLETHYSMOGRAPHY_AMBIENT__root_mean_square,0.0
PHOTOPLETHYSMOGRAPHY_AMBIENT__variance,0.0
PHOTOPLETHYSMOGRAPHY_AMBIENT__absolute_maximum,0.0
OPTICAL_TEMPERATURE_SENSOR_Temperature__median,0.0
OPTICAL_TEMPERATURE_SENSOR_Temperature__sum_values,0.0
OPTICAL_TEMPERATURE_SENSOR_Temperature__mean,0.0
OPTICAL_TEMPERATURE_SENSOR_Temperature__variance,0.0
OPTICAL_TEMPERATURE_SENSOR_Temperature__root_mean_square,0.0
OPTICAL_TEMPERATURE_SENSOR_Temperature__maximum,0.0
PHOTOPLETHYSMOGRAPHY_AMBIENT__mean,0.0
PHOTOPLETHYSMOGRAPHY_AMBIENT__length,0.0
PHOTOPLETHYSMOGRAPHY_AMBIENT__standard_deviation,0.0
PHOTOPLETHYSMOGRAPHY_GREEN__maximum,0.0
PHOTOPLETHYSMOGRAPHY_GREEN__absolute_maximum,0.0
PHOTOPLETHYSMOGRAPHY_GREEN__variance,0.0
MAGNETOMETER_Z__variance,0.0
MAGNETOMETER_Z__length,0.0
MAGNETOMETER_Z__mean,0.0
MAGNETOMETER_Z__median,0.0
MAGNETOMETER_Y__minimum,0.0
MAGNETOMETER_Z__sum_values,0.0
MAGNETOMETER_Y__absolute_maximum,0.0
MAGNETOMETER_Y__root_mean_square,0.0
MAGNETOMETER_Y__median,0.0
MAGNETOMETER_Y__variance,0.0
MAGNETOMETER_Y__mean,0.0
MAGNETOMETER_Y__length,0.0
MAGNETOMETER_Y__sum_values,0.0
MAGNETOMETER_X__root_mean_square,0.0
MAGNETOMETER_X__maximum,0.0
MAGNETOMETER_X__absolute_maximum,0.0
TEMPERATURE_SENSOR_Temperature__variance,0.0
TEMPERATURE_SENSOR_Temperature__minimum,0.0
TEMPERATURE_SENSOR_Temperature__absolute_maximum,0.0
MAGNETOMETER_X__variance,0.0
GYROSCOPE_X__variance,0.0
GYROSCOPE_Y__length,0.0
GYROSCOPE_Y__variance,0.0
